film,filmLabel,year,boxOffice,isAdaptation,period
http://www.wikidata.org/entity/Q553901,Uncle Boonmee Who Can Recall His Past Lives,2010,184292,0,After 2010
http://www.wikidata.org/entity/Q553901,Uncle Boonmee Who Can Recall His Past Lives,2010,184292,0,After 2010
http://www.wikidata.org/entity/Q553901,Uncle Boonmee Who Can Recall His Past Lives,2010,184292,0,After 2010
http://www.wikidata.org/entity/Q553901,Uncle Boonmee Who Can Recall His Past Lives,2010,184292,0,After 2010
http://www.wikidata.org/entity/Q553901,Uncle Boonmee Who Can Recall His Past Lives,2010,184292,0,After 2010
http://www.wikidata.org/entity/Q571309,Undertow,2004,143597,0,Before 2010
http://www.wikidata.org/entity/Q571309,Undertow,2004,143597,0,Before 2010
http://www.wikidata.org/entity/Q593123,My Winnipeg,2007,159363,0,Before 2010
http://www.wikidata.org/entity/Q593123,My Winnipeg,2007,159363,0,Before 2010
http://www.wikidata.org/entity/Q593123,My Winnipeg,2008,159363,0,Before 2010
http://www.wikidata.org/entity/Q593123,My Winnipeg,2008,159363,0,Before 2010
http://www.wikidata.org/entity/Q593123,My Winnipeg,2008,159363,0,Before 2010
http://www.wikidata.org/entity/Q813724,Becket,2007,149327,1,Before 2010
http://www.wikidata.org/entity/Q813724,Becket,2009,149327,1,Before 2010
http://www.wikidata.org/entity/Q813724,Becket,2010,149327,1,After 2010
http://www.wikidata.org/entity/Q1053293,I Wish,2011,145808,0,After 2010
http://www.wikidata.org/entity/Q1353408,Fallen Angels,1995,163145,0,Before 2010
http://www.wikidata.org/entity/Q1353408,Fallen Angels,1995,163145,0,Before 2010
http://www.wikidata.org/entity/Q1353408,Fallen Angels,1995,163145,0,Before 2010
http://www.wikidata.org/entity/Q1353408,Fallen Angels,1997,163145,0,Before 2010
http://www.wikidata.org/entity/Q1353408,Fallen Angels,1998,163145,0,Before 2010
http://www.wikidata.org/entity/Q1513017,Repo! The Genetic Opera,2008,188126,0,Before 2010
http://www.wikidata.org/entity/Q1712162,The Monkey's Mask,2000,150177,0,Before 2010
http://www.wikidata.org/entity/Q1810314,Undead,2003,149590,0,Before 2010
http://www.wikidata.org/entity/Q1810314,Undead,2003,149590,0,Before 2010
http://www.wikidata.org/entity/Q1810314,Undead,2003,149590,0,Before 2010
http://www.wikidata.org/entity/Q1810314,Undead,2005,149590,0,Before 2010
http://www.wikidata.org/entity/Q1838754,Leve boerenliefde,2013,163568,0,After 2010
http://www.wikidata.org/entity/Q1838754,Leve boerenliefde,2013,163568,0,After 2010
http://www.wikidata.org/entity/Q1838754,Leve boerenliefde,2013,163568,0,After 2010
http://www.wikidata.org/entity/Q2527730,I Am Cuba,1995,168100,0,Before 2010
http://www.wikidata.org/entity/Q3198165,A Stoker,2010,183640,0,After 2010
http://www.wikidata.org/entity/Q3285833,Pradolongo,2008,153487.3,0,Before 2010
http://www.wikidata.org/entity/Q3414343,Black and White,2002,177886,0,Before 2010
http://www.wikidata.org/entity/Q4346591,Passenger,2008,190000,0,Before 2010
http://www.wikidata.org/entity/Q4532625,Erskineville Kings,1999,183691,0,Before 2010
http://www.wikidata.org/entity/Q4658033,A Man's Gotta Do,2004,154971,0,Before 2010
http://www.wikidata.org/entity/Q5016137,Cactus,2008,160934,0,Before 2010
http://www.wikidata.org/entity/Q5024891,Live-in maid,2004,183640,0,Before 2010
http://www.wikidata.org/entity/Q5215162,Dance Me to My Song,1998,175138,0,Before 2010
http://www.wikidata.org/entity/Q5370113,Embodiment of Evil,2008,184403,0,Before 2010
http://www.wikidata.org/entity/Q5428643,Facing the Music,2001,182901,0,Before 2010
http://www.wikidata.org/entity/Q5459878,Floating Life,1996,141398,0,Before 2010
http://www.wikidata.org/entity/Q5905890,Horseplay,2003,140550,0,Before 2010
http://www.wikidata.org/entity/Q6096332,Something in the Air,2002,153644,0,Before 2010
http://www.wikidata.org/entity/Q6744098,Mallboy,2001,140742,0,Before 2010
http://www.wikidata.org/entity/Q7062172,"Not Quite Hollywood: The Wild, Untold Story of Ozploitation!",2008,186986,0,Before 2010
http://www.wikidata.org/entity/Q7740191,The Honourable Wally Norman,2003,181395,0,Before 2010
http://www.wikidata.org/entity/Q7749533,The Magician,2005,182164,0,Before 2010
http://www.wikidata.org/entity/Q7754873,The Old Man Who Read Love Stories,2001,181287,0,Before 2010
http://www.wikidata.org/entity/Q7883370,Under the Radar,2004,162757,0,Before 2010
http://www.wikidata.org/entity/Q7897087,Unmade Beds,2009,180144,0,Before 2010
http://www.wikidata.org/entity/Q7897087,Unmade Beds,2010,180144,0,After 2010
http://www.wikidata.org/entity/Q45318,The Angels' Share,2012,346669,0,After 2010
http://www.wikidata.org/entity/Q45318,The Angels' Share,2012,346669,0,After 2010
http://www.wikidata.org/entity/Q45318,The Angels' Share,2012,346669,0,After 2010
http://www.wikidata.org/entity/Q45318,The Angels' Share,2012,346669,0,After 2010
http://www.wikidata.org/entity/Q45318,The Angels' Share,2012,346669,0,After 2010
http://www.wikidata.org/entity/Q45318,The Angels' Share,2012,346669,0,After 2010
http://www.wikidata.org/entity/Q45318,The Angels' Share,2013,346669,0,After 2010
http://www.wikidata.org/entity/Q218458,25th Hour,2002,341517.73,1,Before 2010
http://www.wikidata.org/entity/Q218458,25th Hour,2002,341517.73,1,Before 2010
http://www.wikidata.org/entity/Q218458,25th Hour,2003,341517.73,1,Before 2010
http://www.wikidata.org/entity/Q218458,25th Hour,2003,341517.73,1,Before 2010
http://www.wikidata.org/entity/Q483780,Thirst,2009,318574,1,Before 2010
http://www.wikidata.org/entity/Q483780,Thirst,2009,318574,1,Before 2010
http://www.wikidata.org/entity/Q483780,Thirst,2009,318574,1,Before 2010
http://www.wikidata.org/entity/Q483780,Thirst,2009,318574,1,Before 2010
http://www.wikidata.org/entity/Q483780,Thirst,2009,318574,1,Before 2010
http://www.wikidata.org/entity/Q490588,The Bothersome Man,2006,318302,0,Before 2010
http://www.wikidata.org/entity/Q490588,The Bothersome Man,2006,379331,0,Before 2010
http://www.wikidata.org/entity/Q490588,The Bothersome Man,2007,318302,0,Before 2010
http://www.wikidata.org/entity/Q490588,The Bothersome Man,2007,379331,0,Before 2010
http://www.wikidata.org/entity/Q510864,Timecrimes,2007,389919,0,Before 2010
http://www.wikidata.org/entity/Q510864,Timecrimes,2008,389919,0,Before 2010
http://www.wikidata.org/entity/Q510864,Timecrimes,2008,389919,0,Before 2010
http://www.wikidata.org/entity/Q593123,My Winnipeg,2007,316743,0,Before 2010
http://www.wikidata.org/entity/Q593123,My Winnipeg,2007,316743,0,Before 2010
http://www.wikidata.org/entity/Q593123,My Winnipeg,2008,316743,0,Before 2010
http://www.wikidata.org/entity/Q593123,My Winnipeg,2008,316743,0,Before 2010
http://www.wikidata.org/entity/Q593123,My Winnipeg,2008,316743,0,Before 2010
http://www.wikidata.org/entity/Q748205,This Is England,2006,329379,0,Before 2010
http://www.wikidata.org/entity/Q748205,This Is England,2007,329379,0,Before 2010
http://www.wikidata.org/entity/Q748205,This Is England,2007,329379,0,Before 2010
http://www.wikidata.org/entity/Q748205,This Is England,2007,329379,0,Before 2010
http://www.wikidata.org/entity/Q1163526,Search and Destroy,1995,389503,0,Before 2010
http://www.wikidata.org/entity/Q1204213,Happy Together,1997,320319,0,Before 2010
http://www.wikidata.org/entity/Q1204213,Happy Together,1997,320319,0,Before 2010
http://www.wikidata.org/entity/Q1204213,Happy Together,1997,320319,0,Before 2010
http://www.wikidata.org/entity/Q1204213,Happy Together,1999,320319,0,Before 2010
